i,r,t,Value
upv_1,OR_W,2023,167.6
upv_1,OR_W,2026,181.9
upv_1,OR_W,2029,181.9
upv_1,OR_W,2032,181.9
upv_1,WA_W,2020,0.5
upv_1,WA_W,2023,0.5
upv_1,WA_W,2026,0.5
upv_1,WA_W,2029,341.594527
upv_1,WA_W,2032,341.594527
upv_2,OR_E,2020,23.8
upv_2,OR_E,2023,73.8
upv_2,OR_E,2026,493.8
upv_2,OR_E,2029,2297.383692
upv_2,OR_E,2032,2297.383692
upv_2,OR_W,2020,19.9
upv_2,OR_W,2023,19.9
upv_2,OR_W,2026,22.2
upv_2,OR_W,2029,22.2
upv_2,OR_W,2032,22.2
upv_2,WA_E,2010,0.4
upv_2,WA_E,2015,0.4
upv_2,WA_E,2020,22.8
upv_2,WA_E,2023,37.8
upv_2,WA_E,2026,277.8
upv_2,WA_E,2029,277.8
upv_2,WA_E,2032,277.8
upv_3,CA_N,2010,4.5
upv_3,CA_N,2015,4.5
upv_3,CA_N,2020,6.9
upv_3,CA_N,2023,6.9
upv_3,CA_N,2026,6.9
upv_3,CA_N,2029,6.9
upv_3,CA_N,2032,6.9
upv_3,CA_S,2010,1.0
upv_3,CA_S,2015,1.0
upv_3,CA_S,2020,1.0
upv_3,CA_S,2023,5.4
upv_3,CA_S,2026,6.6
upv_3,CA_S,2029,6.6
upv_3,CA_S,2032,6.6
upv_3,OR_E,2015,13.1
upv_3,OR_E,2020,396.8
upv_3,OR_E,2023,676.4
upv_3,OR_E,2026,2196.8
upv_3,OR_E,2029,2196.8
upv_3,OR_E,2032,2196.8
upv_3,WA_E,2023,150.0
upv_3,WA_E,2026,207.384328
upv_3,WA_E,2029,10149.146766
upv_3,WA_E,2032,14950.646477
upv_4,CA_LA,2010,2.5
upv_4,CA_LA,2015,16.2
upv_4,CA_LA,2020,62.9
upv_4,CA_LA,2023,93.4
upv_4,CA_LA,2026,130.1
upv_4,CA_LA,2029,130.1
upv_4,CA_LA,2032,130.1
upv_4,CA_N,2010,23.6
upv_4,CA_N,2015,306.4
upv_4,CA_N,2020,663.3
upv_4,CA_N,2023,913.7
upv_4,CA_N,2026,1514.09
upv_4,CA_N,2029,1514.09
upv_4,CA_N,2032,1514.09
upv_4,CA_S,2010,8.0
upv_4,CA_S,2015,586.3
upv_4,CA_S,2020,2032.6
upv_4,CA_S,2023,3099.0
upv_4,CA_S,2026,4800.06
upv_4,CA_S,2029,5240.06
upv_4,CA_S,2032,5240.06
upv_4,CA_SE,2010,1.0
upv_4,CA_SE,2015,6.6
